Base Prizm,1,Josh Allen,Buffalo Bills,
Base Prizm,2,Devin Singletary,Buffalo Bills,
Base Prizm,3,Stefon Diggs,Buffalo Bills,
Base Prizm,4,John Brown,Buffalo Bills,
Base Prizm,5,Cole Beasley,Buffalo Bills,
Base Prizm,6,Tremaine Edmunds,Buffalo Bills,
Base Prizm,7,Tre'Davious White,Buffalo Bills,
Base Prizm,8,Josh Norman,Buffalo Bills,
Base Prizm,9,Bruce Smith,Buffalo Bills,
Base Prizm,10,DeVante Parker,Miami Dolphins,
Base Prizm,11,Preston Williams,Miami Dolphins,
Base Prizm,12,Ryan Fitzpatrick,Miami Dolphins,
Base Prizm,13,Mike Gesicki,Miami Dolphins,
Base Prizm,14,Kalen Ballage,Miami Dolphins,
Base Prizm,15,Xavien Howard,Miami Dolphins,
Base Prizm,16,Kyle Van Noy,Miami Dolphins,
Base Prizm,17,Ricky Williams,Miami Dolphins,
Base Prizm,18,Dan Marino,Miami Dolphins,
Base Prizm,19,Cam Newton,New England Patriots,
Base Prizm,20,Sony Michel,New England Patriots,
Base Prizm,21,James White,New England Patriots,
Base Prizm,22,Julian Edelman,New England Patriots,
Base Prizm,23,N'Keal Harry,New England Patriots,
Base Prizm,24,Stephon Gilmore,New England Patriots,
Base Prizm,25,Devin McCourty,New England Patriots,
Base Prizm,26,Tedy Bruschi,New England Patriots,
Base Prizm,27,Willie McGinest,New England Patriots,
Base Prizm,28,Sam Darnold,New York Jets,
Base Prizm,29,Jamison Crowder,New York Jets,
Base Prizm,30,Le'Veon Bell,New York Jets,
Base Prizm,31,Jamal Adams,Seattle Seahawks,
Base Prizm,32,Quinnen Williams,New York Jets,
Base Prizm,33,Jordan Jenkins,New York Jets,
Base Prizm,34,C.J. Mosley,New York Jets,
Base Prizm,35,Curtis Martin,New York Jets,
Base Prizm,36,Joe Namath,New York Jets,
Base Prizm,37,Lamar Jackson,Baltimore Ravens,
Base Prizm,38,Marquise Brown,Baltimore Ravens,
Base Prizm,39,Mark Ingram II,Baltimore Ravens,
Base Prizm,40,Miles Boykin,Baltimore Ravens,
Base Prizm,41,Mark Andrews,Baltimore Ravens,
Base Prizm,42,Earl Thomas III,Baltimore Ravens,
Base Prizm,43,Marlon Humphrey,Baltimore Ravens,
Base Prizm,44,Justin Tucker,Baltimore Ravens,
Base Prizm,45,Jonathan Ogden,Baltimore Ravens,
Base Prizm,46,Ed Reed,Baltimore Ravens,
Base Prizm,47,A.J. Green,Cincinnati Bengals,
Base Prizm,48,Tyler Boyd,Cincinnati Bengals,
Base Prizm,49,Joe Mixon,Cincinnati Bengals,
Base Prizm,50,C.J. Uzomah,Cincinnati Bengals,
Base Prizm,51,Geno Atkins,Cincinnati Bengals,
Base Prizm,52,Sam Hubbard,Cincinnati Bengals,
